Note;Delay as integers(rounding);1;2;3;4;5;6;7;8;9;;
OCTAVE DIVISOR;;8;7;6;5;4;3;2;1;0;;
C;734;0;12;24;36;48;60;72;84;96;108;120
Db;693;1;13;25;37;49;61;73;85;97;109;121
D;654;2;14;26;38;50;62;74;86;98;110;122
Eb;617;3;15;27;39;51;63;75;87;99;111;123
E;582;4;16;28;40;52;64;76;88;100;112;124
F;550;5;17;29;41;53;65;77;89;101;113;125
G;519;6;18;30;42;54;66;78;90;102;114;126
Gb;490;7;19;31;43;55;67;79;91;103;115;127
Ab;462;8;20;32;44;56;68;80;92;104;116;
A;436;9;21;33;45;57;69;81;93;105;117;
Bb;412;10;22;34;46;58;70;82;94;106;118;
B;389;11;23;35;47;59;71;83;95;107;119;
C;367;12;24;36;48;60;72;84;96;108;120;
Db;346;13;25;37;49;61;73;85;97;109;121;
D;327;14;26;38;50;62;74;86;98;110;122;
Eb;309;15;27;39;51;63;75;87;99;111;123;
E;291;16;28;40;52;64;76;88;100;112;124;
F;275;17;29;41;53;65;77;89;101;113;125;
G;259;18;30;42;54;66;78;90;102;114;126;
Gb;245;19;31;43;55;67;79;91;103;115;127;
Ab;231;20;32;44;56;68;80;92;104;116;;
A;218;21;33;45;57;69;81;93;105;117;;
Bb;206;22;34;46;58;70;82;94;106;118;;
B;194;23;35;47;59;71;83;95;107;119;;
