Midi Note  		Delay as integers(rounding)  		Output Frequency(roundig) 
  		
24  		1468  		32.6975 //c1
25  		1385  		34.6570
26  		1308  		36.6972
27  		1234  		38.8979
28  		1165  		41.2017
29  		1100  		43.6364
30  		1038  		46.2428
31  		980  		48.9796
32  		925  		51.8919 
33  		873  		54.9828
34  		824  		58.2524
35  		778  		61.6967
36  		734  		65.3951 // c2
37  		693  		69.2641
38  		654  		73.3945
39  		617  		77.7958
40  		582  		82.4742 // e2, standard tuning string 6
41  		550  		87.2727
42  		519  		92.4855
43  		490  		97.9592
44  		462  		103.8961
45  		436  		110.0917 // a2, standard tuning string 5
46  		412  		116.5049
47  		389  		123.3933
48  		367  		130.7902 // c3 
49  		346  		138.7283
50  		327  		146.7890 // d3 standard tuning string 4
51  		309  		155.3398
52  		291  		164.9485
53  		275  		174.5455
54  		259  		185.3282
55  		245  		195.9184 // g3, standard tuning string 3
56  		231  		207.7922
57  		218  		220.1835
58  		206  		233.0097
59  		194  		247.4227 // b3, standard tuning string 2
60  		183  		262.2951 // c4
61  		173  		277.4566
62  		163  		294.4785
63  		154  		311.6883
64  		146  		328.7671  // e4, standard tuning string 1
65  		137  		350.3650
66  		130  		369.2308
67  		122  		393.4426
68  		116  		413.7931
69  		109  		440.3670
70  		103  		466.0194
71  		97  		494.8454
72  		92  		521.7391 // c5
73  		87  		551.7241
74  		82  		585.3659
75  		77  		623.3766
76  		73  		657.5342
77  		69  		695.6522
78  		65  		738.4615
79  		61  		786.8852
80  		58  		827.5862
81  		55  		872.7273
82  		51  		941.1765
83  		49  		979.5918
84  		46  		1043.4783 // c6
85  		43  		1116.2791
86  		41  		1170.7317
87  		39  		1230.7692
88  		36  		1333.3333
89  		34  		1411.7647
90  		32  		1500.0000
91  		31  		1548.3871
92  		29  		1655.1724
93  		27  		1777.7778
94  		26  		1846.1538
95  		24  		2000.0000
96  		23  		2086.9565 // c7
97  		22  		2181.8182
98  		20  		2400.0000
99  		19  		2526.3158
100  		18  		2666.6667
101  		17  		2823.5294
102  		16  		3000.0000
103  		15  		3200.0000
104  		14  		3428.5714
105  		14  		3428.5714
106  		13  		3692.3077
107  		12  		4000.0000
108  		11  		4363.6364  // c8
